agent_id,status,SVI,main_mode,evacuation_time,fail_reason,speed_m_s,patience_threshold_s,replan_attempts,ID,start_time,start_lat,start_lon,median_speed_m_s,mean_speed_m_s,n_points_window,min_dist_to_center_m,stationary_fraction,home_location_lat,home_location_lon,used_fallback_full_trace,walking_speed_m_s,cycling_speed_m_s,SVI_normalized
1,EVACUATING,0.4921736941599944,PRIV_CAR_DRIVER,300.0,Missing or invalid location data,11.847635695352823,152.3478917520017,0,42_0206,2022-10-18T22:24:54,48.81685661,2.35725556,61.2915,53.793347733711045,4236,4728.60082487614,0.20868744098205855,48.8034068042192,2.3630284417784946,false,2.789,,0.4921736941599944
2,EVACUATING,0.5197492225840902,PRIV_CAR_DRIVER,300.0,,11.732645741824344,144.07523322477294,0,42_0148,2022-10-18T13:45:49,48.932353657877705,2.060222415634637,5.413,17.85669846153846,14945,22502.326894465034,0.2577777777777778,49.00238796934838,2.073526504574117,false,2.789,,0.5197492225840902
3,EVACUATING,0.5253404248339033,LIGHT_COMM_VEHICLE,300.0,,2.349447666541473,142.397872549829,0,42_0425,2022-10-18T10:48:05,48.82512691,2.38480466,22.366,33.82756812953859,22171,4658.924428034216,0.14433268684317352,48.68781613873578,2.4045134109087107,false,2.789,,0.5253404248339033
4,FAILED,0.4401949176269733,PRIV_CAR_DRIVER,60.0,Could not find any safe destination,12.064387193495522,167.94152471190802,1,42_0108,2022-10-18T19:09:56,48.834811175514695,2.590343540132072,33.8475,32.78543828016643,1442,18005.104881703,0.05825242718446602,48.86172981720883,2.488450936227863,false,2.789,,0.4401949176269733
5,EVACUATING,0.42053226846850617,TRAIN,300.0,,2.437140650972401,173.84031945944812,0,42_0426,2022-10-18T18:52:57,48.54520657017532,2.6647169963626287,12.876,13.194440227703984,539,41950.53733172108,0.07969639468690702,48.578954941768274,2.6256579560088467,false,2.789,,0.42053226846850617
6,EVACUATING,0.5217473142278385,PRIV_CAR_DRIVER,300.0,,11.724313699669914,143.47580573164845,0,42_0567,2022-10-18T08:25:47,48.52162356,2.01685332,34.1475,37.05297351916377,2870,44647.00811127209,0.062369337979094074,48.566142707307634,1.9250816376203954,false,2.789,,0.5217473142278385
7,EVACUATING,0.7199620679130161,BIKE,300.0,,3.1250693591896157,84.01137962609518,0,42_0264,2022-10-18T17:08:55,48.89844781,2.24711985,3.986,5.091617157490397,781,8529.649066833994,0.08962868117797695,48.89388642187677,2.235204807148147,false,3.986,3.986,0.7199620679130161
8,EVACUATING,0.6868293072992048,SUBWAY,300.0,,2.2143299185827554,93.95120781023857,0,42_0038,2022-10-18T18:20:47,48.83322217,2.33748207,3.235,6.057728667894414,1912,2933.127044780904,0.09760589318600368,48.85878629045677,2.350636267254197,false,2.789,3.235,0.6868293072992048
9,EVACUATING,0.6792759459009748,SUBWAY,300.0,,1.8663331548424344,96.21721622970755,0,42_0516,2022-10-18T17:07:54,48.8910481322318,2.3723997118294124,2.344,2.391582608695652,345,4033.6642095753955,0.06086956521739131,48.893608889928274,2.3729418233483965,false,2.344,,0.6792759459009748
10,EVACUATING,0.5593570097249787,SUBWAY,300.0,,2.3209859899631105,132.1928970825064,0,42_0066,2022-10-18T20:43:09,48.87979691,2.3564478,1.2885,1.4309757225433528,1896,2429.9296829256737,0.14219653179190753,48.869911463021076,2.3627257926053473,false,2.789,,0.5593570097249787
11,EVACUATING,0.6782674454870304,SUBWAY,300.0,,2.2214936283610016,96.51976635389087,0,42_0242,2022-10-18T20:02:33,48.84293415,2.32720035,2.235,2.3825605006954103,759,2287.142883746833,0.07788595271210014,48.858791345699146,2.3733805688008833,false,2.789,,0.6782674454870304
12,EVACUATING,0.6792759459009748,SUBWAY,300.0,,1.8663331548424344,96.21721622970755,0,42_0516,2022-10-18T17:07:54,48.8910481322318,2.3723997118294124,2.344,2.391582608695652,345,4033.6642095753955,0.06086956521739131,48.893608889928274,2.3729418233483965,false,2.344,,0.6792759459009748
13,EVACUATING,0.7012121607526361,WALKING,300.0,,1.847749063151649,89.63635177420916,0,42_0040,2022-10-18T23:02:00,48.83608155417843,2.3246129756834457,2.34,2.4245800508259214,1609,3015.4120431191873,0.03176620076238882,48.834817236850654,2.320809725356688,false,2.34,,0.7012121607526361
